year,quarter,monthsigned,market,building_name,building_id,address,region,city,state,zip,internal_submarket,internal_class,leasedSF,company_name,internal_industry,transaction_type,internal_market_cluster,costarID,space_type,CBD_suburban,RBA,available_space,availability_proportion,internal_class_rent,overall_rent,direct_available_space,direct_availability_proportion,direct_internal_class_rent,direct_overall_rent,sublet_available_space,sublet_availability_proportion,sublet_internal_class_rent,sublet_overall_rent,leasing
2022,Q4,9.0,Tampa,Armenia Professional Center,Tampa_Westshore_Tampa_Armenia Professional Center_4023 N Armenia Ave,4023 N Armenia Ave,South,Tampa,FL,33607.0,Westshore,O,2248.0,Apex,"Business, Professional, and Consulting Services (except Financial and Legal) - Including Accounting",New,Hillsborough,380040,Relet,Suburban,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
2022,Q4,9.0,Tampa,Ashley Plaza,Tampa_Tampa CBD_Tampa_Ashley Plaza_1000 N Ashley Dr,1000 N Ashley Dr,South,Tampa,FL,33602.0,Tampa CBD,O,2547.0,,,New,Hillsborough,380470,Relet,CBD,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
2022,Q4,9.0,Tampa,Ashley Plaza,Tampa_Tampa CBD_Tampa_Ashley Plaza_1000 N Ashley Dr,1000 N Ashley Dr,South,Tampa,FL,33602.0,Tampa CBD,O,3275.0,,,New,Hillsborough,380470,Relet,CBD,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
2022,Q4,9.0,Tampa,Ashley Plaza,Tampa_Tampa CBD_Tampa_Ashley Plaza_1000 N Ashley Dr,1000 N Ashley Dr,South,Tampa,FL,33602.0,Tampa CBD,O,4567.0,,,New,Hillsborough,380470,Relet,CBD,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
2022,Q4,9.0,Tampa,Bayport Plaza,Tampa_Westshore_Tampa_Bayport Plaza_3000 Bayport Dr,3000 Bayport Dr,South,Tampa,FL,33607.0,Westshore,A,5695.0,,,New,Hillsborough,380280,Sublet,Suburban,24082211.0,5741376.0,0.238407345571385,32.8305049846771,28.3385199555024,3998672.0,0.0754,33.10826,28.543858,1742704.0,0.0329,27.605078,24.191514,363202.0
2022,Q4,9.0,Tampa,Buschwood I,Tampa_Northwest Tampa_Tampa_Buschwood I_3550 Buschwood Park Dr,3550 Buschwood Park Dr,South,Tampa,FL,33618.0,Northwest Tampa,O,1910.0,,,New,Hillsborough,380291,Relet,Suburban,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
2022,Q4,9.0,Tampa,Concourse Center 3,Tampa_Westshore_Tampa_Concourse Center 3_3505 E Frontage Rd,3505 E Frontage Rd,South,Tampa,FL,33607.0,Westshore,O,6344.0,,,New,Hillsborough,380341,Relet,Suburban,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
2022,Q4,9.0,Tampa,Corporate Center II,Tampa_Westshore_Tampa_Corporate Center II_4211 W Boy Scout Blvd,4211 W Boy Scout Blvd,South,Tampa,FL,33607.0,Westshore,A,11997.0,,,New,Hillsborough,606649,Sublet,Suburban,24082211.0,5741376.0,0.238407345571385,32.8305049846771,28.3385199555024,3998672.0,0.0754,33.10826,28.543858,1742704.0,0.0329,27.605078,24.191514,363202.0
2022,Q4,9.0,Tampa,Crown Bldg,Tampa_South Tampa_Tampa_Crown Bldg_3825 Henderson Blvd,3825 Henderson Blvd,South,Tampa,FL,33629.0,South Tampa,O,343.0,,,New,Hillsborough,380469,Relet,Suburban,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
2022,Q4,9.0,Tampa,Crown Bldg,Tampa_South Tampa_Tampa_Crown Bldg_3825 Henderson Blvd,3825 Henderson Blvd,South,Tampa,FL,33629.0,South Tampa,O,894.0,,,New,Hillsborough,380469,Relet,Suburban,28943310.0,5309049.0,0.183429227686813,24.4052086147412,28.3385199555024,4213001.0,0.0795,24.572975,28.543858,1096048.0,0.0207,20.78555,24.191514,450001.0
